scats_site_number,timestamp,traffic_flow
970,2006-10-15 01:00:00,582
970,2006-10-15 02:00:00,406
970,2006-10-15 03:00:00,289
970,2006-10-15 04:00:00,216
970,2006-10-15 05:00:00,290
970,2006-10-15 06:00:00,558
970,2006-10-15 07:00:00,724
970,2006-10-15 08:00:00,1312
970,2006-10-15 09:00:00,2390
970,2006-10-15 10:00:00,2965
970,2006-10-15 11:00:00,3515
970,2006-10-15 12:00:00,4014
970,2006-10-15 13:00:00,3700
970,2006-10-15 14:00:00,3728
970,2006-10-15 15:00:00,3630
970,2006-10-15 16:00:00,3693
970,2006-10-15 17:00:00,3693
970,2006-10-15 18:00:00,2667
970,2006-10-15 19:00:00,1690
970,2006-10-15 20:00:00,1538
970,2006-10-15 21:00:00,1346
970,2006-10-15 22:00:00,935
970,2006-10-15 23:00:00,509
970,2006-10-16 00:00:00,235
970,2006-10-16 01:00:00,144
970,2006-10-16 02:00:00,108
970,2006-10-16 03:00:00,74
970,2006-10-16 04:00:00,151
970,2006-10-16 05:00:00,436
970,2006-10-16 06:00:00,1866
970,2006-10-16 07:00:00,4173
970,2006-10-16 08:00:00,4970
970,2006-10-16 09:00:00,3668
970,2006-10-16 10:00:00,3005
970,2006-10-16 11:00:00,3076
970,2006-10-16 12:00:00,3262
970,2006-10-16 13:00:00,3227
970,2006-10-16 14:00:00,3377
970,2006-10-16 15:00:00,4051
970,2006-10-16 16:00:00,4509
970,2006-10-16 17:00:00,4888
970,2006-10-16 18:00:00,4057
970,2006-10-16 19:00:00,2506
970,2006-10-16 20:00:00,1698
970,2006-10-16 21:00:00,1443
970,2006-10-16 22:00:00,1066
970,2006-10-16 23:00:00,554
970,2006-10-17 00:00:00,249
970,2006-10-17 01:00:00,123
970,2006-10-17 02:00:00,86
970,2006-10-17 03:00:00,68
970,2006-10-17 04:00:00,157
970,2006-10-17 05:00:00,483
970,2006-10-17 06:00:00,2035
970,2006-10-17 07:00:00,4292
970,2006-10-17 08:00:00,5002
970,2006-10-17 09:00:00,3852
970,2006-10-17 10:00:00,3214
970,2006-10-17 11:00:00,3163
970,2006-10-17 12:00:00,3208
970,2006-10-17 13:00:00,3224
970,2006-10-17 14:00:00,3572
970,2006-10-17 15:00:00,4164
970,2006-10-17 16:00:00,4669
970,2006-10-17 17:00:00,4960
970,2006-10-17 18:00:00,4352
970,2006-10-17 19:00:00,2736
970,2006-10-17 20:00:00,1821
970,2006-10-17 21:00:00,1641
970,2006-10-17 22:00:00,1212
970,2006-10-17 23:00:00,755
970,2006-10-18 00:00:00,326
970,2006-10-18 01:00:00,161
970,2006-10-18 02:00:00,95
970,2006-10-18 03:00:00,83
970,2006-10-18 04:00:00,161
970,2006-10-18 05:00:00,457
970,2006-10-18 06:00:00,2052
970,2006-10-18 07:00:00,4332
970,2006-10-18 08:00:00,4916
970,2006-10-18 09:00:00,3837
970,2006-10-18 10:00:00,3273
970,2006-10-18 11:00:00,3220
970,2006-10-18 12:00:00,3205
970,2006-10-18 13:00:00,3395
970,2006-10-18 14:00:00,3474
970,2006-10-18 15:00:00,4003
970,2006-10-18 16:00:00,4713
970,2006-10-18 17:00:00,4946
970,2006-10-18 18:00:00,4328
970,2006-10-18 19:00:00,2805
970,2006-10-18 20:00:00,1950
970,2006-10-18 21:00:00,1814
970,2006-10-18 22:00:00,1287
970,2006-10-18 23:00:00,677
970,2006-10-19 00:00:00,338
970,2006-10-19 01:00:00,159
970,2006-10-19 02:00:00,119
970,2006-10-19 03:00:00,92
970,2006-10-19 04:00:00,164
970,2006-10-19 05:00:00,488
970,2006-10-19 06:00:00,2057
970,2006-10-19 07:00:00,3965
970,2006-10-19 08:00:00,4465
970,2006-10-19 09:00:00,4069
970,2006-10-19 10:00:00,3386
970,2006-10-19 11:00:00,3407
970,2006-10-19 12:00:00,3445
970,2006-10-19 13:00:00,3409
970,2006-10-19 14:00:00,3616
970,2006-10-19 15:00:00,4307
970,2006-10-19 16:00:00,4858
970,2006-10-19 17:00:00,5025
970,2006-10-19 18:00:00,4395
970,2006-10-19 19:00:00,3065
970,2006-10-19 20:00:00,2203
970,2006-10-19 21:00:00,2138
970,2006-10-19 22:00:00,1348
970,2006-10-19 23:00:00,764
970,2006-10-20 00:00:00,412
970,2006-10-20 01:00:00,214
970,2006-10-20 02:00:00,140
970,2006-10-20 03:00:00,137
970,2006-10-20 04:00:00,175
970,2006-10-20 05:00:00,520
970,2006-10-20 06:00:00,1929
970,2006-10-20 07:00:00,4195
970,2006-10-20 08:00:00,4922
970,2006-10-20 09:00:00,3742
970,2006-10-20 10:00:00,3404
970,2006-10-20 11:00:00,3621
970,2006-10-20 12:00:00,3674
970,2006-10-20 13:00:00,3682
970,2006-10-20 14:00:00,3943
970,2006-10-20 15:00:00,4522
970,2006-10-20 16:00:00,4863
970,2006-10-20 17:00:00,5003
970,2006-10-20 18:00:00,4446
970,2006-10-20 19:00:00,3086
970,2006-10-20 20:00:00,2053
970,2006-10-20 21:00:00,2052
970,2006-10-20 22:00:00,1462
970,2006-10-20 23:00:00,1170
970,2006-10-21 00:00:00,674
970,2006-10-21 01:00:00,411
970,2006-10-21 02:00:00,278
970,2006-10-21 03:00:00,185
970,2006-10-21 04:00:00,196
970,2006-10-21 05:00:00,309
970,2006-10-21 06:00:00,817
970,2006-10-21 07:00:00,1382
970,2006-10-21 08:00:00,2534
970,2006-10-21 09:00:00,3439
970,2006-10-21 10:00:00,3897
970,2006-10-21 11:00:00,4070
970,2006-10-21 12:00:00,4395
970,2006-10-21 13:00:00,4205
970,2006-10-21 14:00:00,4090
970,2006-10-21 15:00:00,3799
970,2006-10-21 16:00:00,3727
970,2006-10-21 17:00:00,3846
970,2006-10-21 18:00:00,3378
970,2006-10-21 19:00:00,2533
970,2006-10-21 20:00:00,1657
970,2006-10-21 21:00:00,1386
970,2006-10-21 22:00:00,1356
970,2006-10-21 23:00:00,1505
970,2006-10-22 00:00:00,1027
970,2006-10-22 01:00:00,583
970,2006-10-22 02:00:00,371
970,2006-10-22 03:00:00,287
970,2006-10-22 04:00:00,218
970,2006-10-22 05:00:00,221
970,2006-10-22 06:00:00,550
970,2006-10-22 07:00:00,726
970,2006-10-22 08:00:00,1308
970,2006-10-22 09:00:00,2278
970,2006-10-22 10:00:00,2814
970,2006-10-22 11:00:00,3261
970,2006-10-22 12:00:00,3885
970,2006-10-22 13:00:00,3897
970,2006-10-22 14:00:00,3645
970,2006-10-22 15:00:00,3561
970,2006-10-22 16:00:00,3664
970,2006-10-22 17:00:00,3678
970,2006-10-22 18:00:00,2869
970,2006-10-22 19:00:00,1955
970,2006-10-22 20:00:00,1469
970,2006-10-22 21:00:00,1231
970,2006-10-22 22:00:00,903
970,2006-10-22 23:00:00,489
970,2006-10-23 00:00:00,261
970,2006-10-23 01:00:00,153
970,2006-10-23 02:00:00,93
970,2006-10-23 03:00:00,99
970,2006-10-23 04:00:00,164
970,2006-10-23 05:00:00,461
970,2006-10-23 06:00:00,1869
970,2006-10-23 07:00:00,4066
970,2006-10-23 08:00:00,4953
970,2006-10-23 09:00:00,3468
970,2006-10-23 10:00:00,2955
970,2006-10-23 11:00:00,3113
970,2006-10-23 12:00:00,3150
970,2006-10-23 13:00:00,3222
970,2006-10-23 14:00:00,3261
970,2006-10-23 15:00:00,3863
970,2006-10-23 16:00:00,4369
970,2006-10-23 17:00:00,4789
970,2006-10-23 18:00:00,3920
970,2006-10-23 19:00:00,2450
970,2006-10-23 20:00:00,1667
970,2006-10-23 21:00:00,1516
970,2006-10-23 22:00:00,1011
970,2006-10-23 23:00:00,521
970,2006-10-24 00:00:00,270
970,2006-10-24 01:00:00,134
970,2006-10-24 02:00:00,81
970,2006-10-24 03:00:00,71
970,2006-10-24 04:00:00,166
970,2006-10-24 05:00:00,485
970,2006-10-24 06:00:00,2006
970,2006-10-24 07:00:00,4285
970,2006-10-24 08:00:00,4871
970,2006-10-24 09:00:00,3810
970,2006-10-24 10:00:00,3309
970,2006-10-24 11:00:00,3024
970,2006-10-24 12:00:00,3228
970,2006-10-24 13:00:00,3218
970,2006-10-24 14:00:00,3472
970,2006-10-24 15:00:00,4049
970,2006-10-24 16:00:00,4601
970,2006-10-24 17:00:00,4791
970,2006-10-24 18:00:00,4079
970,2006-10-24 19:00:00,2679
970,2006-10-24 20:00:00,1866
970,2006-10-24 21:00:00,1644
970,2006-10-24 22:00:00,1312
970,2006-10-24 23:00:00,623
970,2006-10-25 00:00:00,324
970,2006-10-25 01:00:00,143
970,2006-10-25 02:00:00,109
970,2006-10-25 03:00:00,88
970,2006-10-25 04:00:00,157
970,2006-10-25 05:00:00,507
970,2006-10-25 06:00:00,2020
970,2006-10-25 07:00:00,4258
970,2006-10-25 08:00:00,4792
970,2006-10-25 09:00:00,3850
970,2006-10-25 10:00:00,3263
970,2006-10-25 11:00:00,3272
970,2006-10-25 12:00:00,3318
970,2006-10-25 13:00:00,3343
970,2006-10-25 14:00:00,3626
970,2006-10-25 15:00:00,4136
970,2006-10-25 16:00:00,4772
970,2006-10-25 17:00:00,5087
970,2006-10-25 18:00:00,4577
970,2006-10-25 19:00:00,2680
970,2006-10-25 20:00:00,1848
970,2006-10-25 21:00:00,1625
970,2006-10-25 22:00:00,1260
970,2006-10-25 23:00:00,680
970,2006-10-26 00:00:00,343
970,2006-10-26 01:00:00,176
970,2006-10-26 02:00:00,115
970,2006-10-26 03:00:00,72
970,2006-10-26 04:00:00,161
970,2006-10-26 05:00:00,511
970,2006-10-26 06:00:00,2038
970,2006-10-26 07:00:00,4299
970,2006-10-26 08:00:00,4972
970,2006-10-26 09:00:00,3816
970,2006-10-26 10:00:00,3242
970,2006-10-26 11:00:00,3298
970,2006-10-26 12:00:00,3335
970,2006-10-26 13:00:00,3482
970,2006-10-26 14:00:00,3568
970,2006-10-26 15:00:00,4212
970,2006-10-26 16:00:00,4753
970,2006-10-26 17:00:00,5082
970,2006-10-26 18:00:00,4451
970,2006-10-26 19:00:00,3182
970,2006-10-26 20:00:00,2211
970,2006-10-26 21:00:00,2298
970,2006-10-26 22:00:00,1380
970,2006-10-26 23:00:00,773
970,2006-10-27 00:00:00,346
970,2006-10-27 01:00:00,192
970,2006-10-27 02:00:00,113
970,2006-10-27 03:00:00,108
970,2006-10-27 04:00:00,166
970,2006-10-27 05:00:00,480
970,2006-10-27 06:00:00,1988
970,2006-10-27 07:00:00,4155
970,2006-10-27 08:00:00,4948
970,2006-10-27 09:00:00,3804
970,2006-10-27 10:00:00,3275
970,2006-10-27 11:00:00,3379
970,2006-10-27 12:00:00,3473
970,2006-10-27 13:00:00,3580
970,2006-10-27 14:00:00,3817
970,2006-10-27 15:00:00,4371
970,2006-10-27 16:00:00,4865
970,2006-10-27 17:00:00,5061
970,2006-10-27 18:00:00,4515
970,2006-10-27 19:00:00,3125
970,2006-10-27 20:00:00,2093
970,2006-10-27 21:00:00,1926
970,2006-10-27 22:00:00,1375
970,2006-10-27 23:00:00,1179
970,2006-10-28 00:00:00,757
970,2006-10-28 01:00:00,376
970,2006-10-28 02:00:00,264
970,2006-10-28 03:00:00,170
970,2006-10-28 04:00:00,182
970,2006-10-28 05:00:00,322
970,2006-10-28 06:00:00,715
970,2006-10-28 07:00:00,1295
970,2006-10-28 08:00:00,2541
970,2006-10-28 09:00:00,3264
970,2006-10-28 10:00:00,3839
970,2006-10-28 11:00:00,4341
970,2006-10-28 12:00:00,4484
970,2006-10-28 13:00:00,4384
970,2006-10-28 14:00:00,4125
970,2006-10-28 15:00:00,4012
970,2006-10-28 16:00:00,3910
970,2006-10-28 17:00:00,3985
970,2006-10-28 18:00:00,3337
970,2006-10-28 19:00:00,2425
970,2006-10-28 20:00:00,1737
970,2006-10-28 21:00:00,1400
970,2006-10-28 22:00:00,1382
970,2006-10-28 23:00:00,1370
970,2006-10-29 00:00:00,1109
970,2006-10-29 01:00:00,403
970,2006-10-29 02:00:00,102
970,2006-10-29 03:00:00,405
970,2006-10-29 04:00:00,276
970,2006-10-29 05:00:00,259
970,2006-10-29 06:00:00,461
970,2006-10-29 07:00:00,673
970,2006-10-29 08:00:00,1043
970,2006-10-29 09:00:00,1832
970,2006-10-29 10:00:00,2548
970,2006-10-29 11:00:00,3373
970,2006-10-29 12:00:00,3796
970,2006-10-29 13:00:00,3617
970,2006-10-29 14:00:00,3670
970,2006-10-29 15:00:00,3817
970,2006-10-29 16:00:00,3875
970,2006-10-29 17:00:00,3795
970,2006-10-29 18:00:00,2906
970,2006-10-29 19:00:00,1905
970,2006-10-29 20:00:00,1659
970,2006-10-29 21:00:00,1424
970,2006-10-29 22:00:00,974
970,2006-10-29 23:00:00,591
970,2006-10-30 00:00:00,320
970,2006-10-30 01:00:00,187
970,2006-10-30 02:00:00,111
970,2006-10-30 03:00:00,91
970,2006-10-30 04:00:00,171
970,2006-10-30 05:00:00,447
970,2006-10-30 06:00:00,1744
970,2006-10-30 07:00:00,3971
970,2006-10-30 08:00:00,5026
970,2006-10-30 09:00:00,3539
970,2006-10-30 10:00:00,2988
970,2006-10-30 11:00:00,3057
970,2006-10-30 12:00:00,3194
970,2006-10-30 13:00:00,3422
970,2006-10-30 14:00:00,3399
970,2006-10-30 15:00:00,4031
970,2006-10-30 16:00:00,4427
970,2006-10-30 17:00:00,4950
970,2006-10-30 18:00:00,4251
970,2006-10-30 19:00:00,2523
970,2006-10-30 20:00:00,1836
970,2006-10-30 21:00:00,1463
970,2006-10-30 22:00:00,1023
970,2006-10-30 23:00:00,594
970,2006-10-31 00:00:00,298
970,2006-10-31 01:00:00,131
970,2006-10-31 02:00:00,107
970,2006-10-31 03:00:00,90
970,2006-10-31 04:00:00,152
970,2006-10-31 05:00:00,437
970,2006-10-31 06:00:00,1864
970,2006-10-31 07:00:00,4119
970,2006-10-31 08:00:00,5060
970,2006-10-31 09:00:00,3835
970,2006-10-31 10:00:00,3205
970,2006-10-31 11:00:00,3255
970,2006-10-31 12:00:00,3247
970,2006-10-31 13:00:00,3460
970,2006-10-31 14:00:00,3456
970,2006-10-31 15:00:00,4096
970,2006-10-31 16:00:00,4767
970,2006-10-31 17:00:00,4925
970,2006-10-31 18:00:00,4273
970,2006-10-31 19:00:00,2815
970,2006-10-31 20:00:00,1985
970,2006-10-31 21:00:00,1734
970,2006-10-31 22:00:00,1292
970,2006-10-31 23:00:00,678
2000,2006-10-01 00:00:00,1187
2000,2006-10-01 01:00:00,728
2000,2006-10-01 02:00:00,577
2000,2006-10-01 03:00:00,434
2000,2006-10-01 04:00:00,368
2000,2006-10-01 05:00:00,396
2000,2006-10-01 06:00:00,637
2000,2006-10-01 07:00:00,952
2000,2006-10-01 08:00:00,1315
2000,2006-10-01 09:00:00,2416
2000,2006-10-01 10:00:00,3086
2000,2006-10-01 11:00:00,3326
2000,2006-10-01 12:00:00,3770
2000,2006-10-01 13:00:00,3685
2000,2006-10-01 14:00:00,3590
2000,2006-10-01 15:00:00,3519
2000,2006-10-01 16:00:00,3658
2000,2006-10-01 17:00:00,3704
2000,2006-10-01 18:00:00,2871
2000,2006-10-01 19:00:00,2007
2000,2006-10-01 20:00:00,1526
2000,2006-10-01 21:00:00,1556
2000,2006-10-01 22:00:00,1138
2000,2006-10-01 23:00:00,687
2000,2006-10-02 00:00:00,386
2000,2006-10-02 01:00:00,193
2000,2006-10-02 02:00:00,163
2000,2006-10-02 03:00:00,124
2000,2006-10-02 04:00:00,222
2000,2006-10-02 05:00:00,619
2000,2006-10-02 06:00:00,2211
2000,2006-10-02 07:00:00,4834
2000,2006-10-02 08:00:00,4986
2000,2006-10-02 09:00:00,3538
2000,2006-10-02 10:00:00,3220
2000,2006-10-02 11:00:00,3196
2000,2006-10-02 12:00:00,3160
2000,2006-10-02 13:00:00,3241
2000,2006-10-02 14:00:00,3368
2000,2006-10-02 15:00:00,3773
2000,2006-10-02 16:00:00,4606
