scats_site_number,timestamp,traffic_flow,scaled_traffic_flow
970,2006-10-14 16:00:00,3974,0.7448288830387363
970,2006-10-14 17:00:00,4077,0.7641970665663783
970,2006-10-14 18:00:00,3526,0.6605866867243324
970,2006-10-14 19:00:00,2466,0.46126363294471606
970,2006-10-14 20:00:00,1573,0.2933433621662279
970,2006-10-14 21:00:00,1435,0.26739375705152313
970,2006-10-14 22:00:00,1469,0.2737871380218127
970,2006-10-14 23:00:00,1322,0.24614516735614891
970,2006-10-15 00:00:00,1037,0.19255359157578036
970,2006-10-15 01:00:00,582,0.1069951109439639
970,2006-10-15 02:00:00,406,0.07389996239187664
970,2006-10-15 03:00:00,289,0.05189921022940955
970,2006-10-15 04:00:00,216,0.03817224520496427
970,2006-10-15 05:00:00,290,0.05208725084618277
970,2006-10-15 06:00:00,558,0.10248213614140654
970,2006-10-15 07:00:00,724,0.13369687852576156
970,2006-10-15 08:00:00,1312,0.2442647611884167
970,2006-10-15 09:00:00,2390,0.4469725460699511
970,2006-10-15 10:00:00,2965,0.5550959007145543
970,2006-10-15 11:00:00,3515,0.6585182399398269
970,2006-10-15 12:00:00,4014,0.7523505077096653
970,2006-10-15 13:00:00,3700,0.6933057540428732
970,2006-10-15 14:00:00,3728,0.6985708913125235
970,2006-10-15 15:00:00,3630,0.6801429108687476
970,2006-10-15 16:00:00,3693,0.6919894697254606
970,2006-10-15 17:00:00,3693,0.6919894697254606
970,2006-10-15 18:00:00,2667,0.49905979691613384
970,2006-10-15 19:00:00,1690,0.31534411432869497
970,2006-10-15 20:00:00,1538,0.2867619405791651
970,2006-10-15 21:00:00,1346,0.2506581421587063
970,2006-10-15 22:00:00,935,0.1733734486649116
970,2006-10-15 23:00:00,509,0.09326814591951862
970,2006-10-16 00:00:00,235,0.04174501692365551
970,2006-10-16 01:00:00,144,0.024633320797292215
970,2006-10-16 02:00:00,108,0.017863858593456187
970,2006-10-16 03:00:00,74,0.011470477623166605
970,2006-10-16 04:00:00,151,0.025949605114704778
970,2006-10-16 05:00:00,436,0.07954118089507334
970,2006-10-16 06:00:00,1866,0.34843926288078225
970,2006-10-16 07:00:00,4173,0.7822489657766076
970,2006-10-16 08:00:00,4970,0.9321173373448665
970,2006-10-16 09:00:00,3668,0.6872884543061301
970,2006-10-16 10:00:00,3005,0.5626175253854832
970,2006-10-16 11:00:00,3076,0.575968409176382
970,2006-10-16 12:00:00,3262,0.6109439638962015
970,2006-10-16 13:00:00,3227,0.6043625423091387
970,2006-10-16 14:00:00,3377,0.6325686348251222
970,2006-10-16 15:00:00,4051,0.7593080105302745
970,2006-10-16 16:00:00,4509,0.8454306130124106
970,2006-10-16 17:00:00,4888,0.9166980067694621
970,2006-10-16 18:00:00,4057,0.7604362542309138
970,2006-10-16 19:00:00,2506,0.468785257615645
970,2006-10-16 20:00:00,1698,0.31684843926288075
970,2006-10-16 21:00:00,1443,0.2688980819857089
970,2006-10-16 22:00:00,1066,0.19800676946220383
970,2006-10-16 23:00:00,554,0.10172997367431365
970,2006-10-17 00:00:00,249,0.04437758555848063
970,2006-10-17 01:00:00,123,0.02068446784505453
970,2006-10-17 02:00:00,86,0.01372696502444528
970,2006-10-17 03:00:00,68,0.010342233922527266
970,2006-10-17 04:00:00,157,0.027077848815344113
970,2006-10-17 05:00:00,483,0.08837908988341482
